question,answer
"What is your name?","I am your AI ChatBot, here to help you."
"How can I reset my password?","Click on 'Forgot Password' at the login page and follow the instructions."
"Where are you located?","We are an online-based service available worldwide."
"How do I contact support?","You can email support at support@example.com."
"What services do you provide?","We provide chatbot solutions, AI-based tools, and automation services."
"How can I sign up?","Click on the 'Sign Up' button on the homepage and fill in your details."
"Can I delete my account?","Yes, you can delete your account from the settings page under 'Privacy'."
"Do you offer refunds?","Yes, refunds are available within 14 days of purchase."
"Is my data secure?","Yes, we use encryption and follow strict security policies to protect your data."
"Do you support mobile devices?","Yes, our platform works on all major mobile devices."
"Can I change my email address?","Yes, you can change your email from the account settings page."
"How much does your service cost?","We have free and premium plans. Pricing details are available on the pricing page."
"Do you provide customer training?","Yes, we offer tutorials, guides, and webinars for customers."
"Can I use the chatbot offline?","No, the chatbot requires an internet connection."
"Do you integrate with other apps?","Yes, we integrate with Slack, Google Drive, and more."
"How do I update my profile information?","Go to settings and update your profile information anytime."
"What payment methods do you accept?","We accept credit cards, debit cards, PayPal, and online banking."
"Do you offer a free trial?","Yes, we offer a 14-day free trial for new users."
"How do I cancel my subscription?","You can cancel anytime from your account settings under 'Subscription'."
"Can multiple users access one account?","No, each account is limited to one user for security reasons."
